x;y;tempo;invert
8711;8711;0.26500;1
8721;8721;0.26400;1
8731;8731;0.26400;1
8741;8741;0.26400;1
8751;8751;0.27300;1
8761;8761;0.26800;1
8771;8771;0.26400;1
8781;8781;0.26400;1
8791;8791;0.27200;1
8801;8801;0.26500;1
8811;8811;0.26800;1
8821;8821;0.26900;1
8831;8831;0.27200;1
8841;8841;0.28500;1
8851;8851;0.30400;1
8861;8861;0.27700;1
8871;8871;0.27600;1
8881;8881;0.28500;1
8891;8891;0.27600;1
8901;8901;0.27700;1
8911;8911;0.28000;1
8921;8921;0.27600;1
8931;8931;0.30000;1
8941;8941;0.28000;1
8951;8951;0.28000;1
8961;8961;0.28400;1
8971;8971;0.28800;1
8981;8981;0.40400;1
8991;8991;0.28100;1
9001;9001;0.28100;1
9011;9011;0.28000;1
9021;9021;0.28400;1
9031;9031;0.34400;1
9041;9041;0.28400;1
9051;9051;0.28800;1
9061;9061;0.28400;1
9071;9071;0.28800;1
9081;9081;0.28400;1
9091;9091;0.28800;1
9101;9101;0.29200;1
9111;9111;0.28800;1
9121;9121;0.28800;1
9131;9131;0.28800;1
9141;9141;0.28800;1
9151;9151;0.29600;1
9161;9161;0.35600;1
9171;9171;0.32100;1
9181;9181;0.39700;1
9191;9191;0.29600;1
9201;9201;0.29200;1
9211;9211;0.29200;1
9221;9221;0.29600;1
9231;9231;0.38900;1
9241;9241;0.30100;1
9251;9251;0.29600;1
9261;9261;0.29600;1
9271;9271;0.30000;1
9281;9281;0.30500;1
9291;9291;0.29600;1
9301;9301;0.30000;1
9311;9311;0.29700;1
9321;9321;0.30800;1
9331;9331;0.30800;1
9341;9341;0.32100;1
9351;9351;0.40000;1
9361;9361;0.30400;1
9371;9371;0.30400;1
9381;9381;0.32400;1
9391;9391;0.32000;1
9401;9401;0.30400;1
9411;9411;0.30800;1
9421;9421;0.33200;1
9431;9431;0.30800;1
9441;9441;0.31300;1
9451;9451;0.34900;1
9461;9461;0.35200;1
9471;9471;0.31200;1
9481;9481;0.31200;1
9491;9491;0.32000;1
9501;9501;0.31200;1
9511;9511;0.34400;1
9521;9521;0.31600;1
9531;9531;0.42800;1
9541;9541;0.33200;1
9551;9551;0.32000;1
9561;9561;0.32000;1
9571;9571;0.32900;1
9581;9581;0.32000;1
9591;9591;0.32100;1
9601;9601;0.32800;1
9611;9611;0.32800;1
9621;9621;0.36000;1
9631;9631;0.32400;1
9641;9641;0.34800;1
9651;9651;0.32400;1
9661;9661;0.32900;1
9671;9671;0.34900;1
9681;9681;0.32800;1
9691;9691;0.38000;1
9701;9701;0.32800;1
9711;9711;0.34000;1
9721;9721;0.33200;1
9731;9731;0.36900;1
9741;9741;0.34000;1
9751;9751;0.33300;1
9761;9761;0.33300;1
9771;9771;0.33600;1
9781;9781;0.33200;1
9791;9791;0.33200;1
9801;9801;0.33200;1
9811;9811;0.33600;1
9821;9821;0.33300;1
9831;9831;0.39200;1
9841;9841;0.33700;1
9851;9851;0.34000;1
9861;9861;0.33600;1
9871;9871;0.36400;1
9881;9881;0.34100;1
9891;9891;0.42900;1
9901;9901;0.34100;1
