x;y;tempo;inverso
7851;7851; 1.07;1
7861;7861; 0.95;1
7871;7871; 0.88;1
7881;7881; 0.89;1
7891;7891; 0.87;1
7901;7901; 0.89;1
7911;7911; 1.00;1
7921;7921; 0.88;1
7931;7931; 0.98;1
7941;7941; 0.90;1
7951;7951; 1.03;1
7961;7961; 1.03;1
7971;7971; 0.89;1
7981;7981; 0.89;1
7991;7991; 0.93;1
8001;8001; 0.92;1
8011;8011; 0.90;1
8021;8021; 0.92;1
8031;8031; 0.93;1
8041;8041; 1.04;1
8051;8051; 0.98;1
8061;8061; 0.94;1
8071;8071; 0.92;1
8081;8081; 1.01;1
8091;8091; 1.04;1
8101;8101; 1.02;1
8111;8111; 1.01;1
8121;8121; 1.03;1
8131;8131; 0.99;1
8141;8141; 1.02;1
8151;8151; 0.97;1
8161;8161; 1.02;1
8171;8171; 1.05;1
8181;8181; 1.10;1
8191;8191; 1.18;1
8201;8201; 1.08;1
8211;8211; 1.03;1
8221;8221; 1.04;1
8231;8231; 1.23;1
8241;8241; 1.11;1
8251;8251; 1.00;1
8261;8261; 1.01;1
8271;8271; 1.01;1
8281;8281; 1.09;1
8291;8291; 1.04;1
8301;8301; 1.06;1
8311;8311; 0.99;1
8321;8321; 1.09;1
8331;8331; 1.01;1
8341;8341; 1.02;1
8351;8351; 1.02;1
8361;8361; 1.09;1
8371;8371; 1.04;1
8381;8381; 1.04;1
8391;8391; 1.05;1
8401;8401; 1.21;1
8411;8411; 1.03;1
8421;8421; 1.03;1
8431;8431; 1.12;1
8441;8441; 1.14;1
8451;8451; 1.10;1
8461;8461; 1.06;1
8471;8471; 1.11;1
8481;8481; 1.04;1
8491;8491; 1.08;1
8501;8501; 1.06;1
8511;8511; 1.13;1
8521;8521; 1.11;1
8531;8531; 1.11;1
8541;8541; 1.12;1
8551;8551; 1.19;1
8561;8561; 1.10;1
8571;8571; 1.20;1
8581;8581; 1.08;1
8591;8591; 1.15;1
8601;8601; 1.08;1
8611;8611; 1.12;1
8621;8621; 1.16;1
8631;8631; 1.11;1
8641;8641; 1.12;1
8651;8651; 1.37;1
8661;8661; 1.24;1
8671;8671; 1.12;1
8681;8681; 1.16;1
8691;8691; 1.18;1
8701;8701; 1.18;1
8711;8711; 1.14;1
8721;8721; 1.13;1
8731;8731; 1.28;1
8741;8741; 1.27;1
8751;8751; 1.63;1
8761;8761; 2.05;1
8771;8771; 1.30;1
8781;8781; 1.17;1
8791;8791; 1.23;1
8801;8801; 1.22;1
8811;8811; 1.15;1
8821;8821; 1.24;1
8831;8831; 1.27;1
8841;8841; 1.20;1
8851;8851; 1.31;1
8861;8861; 1.21;1
8871;8871; 1.16;1
8881;8881; 1.24;1
8891;8891; 1.27;1
8901;8901; 1.47;1
8911;8911; 1.20;1
